name,group,time_range,distribution,typical_size,other_size
pachypteris,pteridosperms,triassic-cretaceous,worldwide,2m,
williamsonia,bennettites,jurassic-cretaceous,worldwide,3m,
archaeopteris,progymnosperms,devonian,worldwide,10m,
cordaites,cordaites,late carboniferous-early permian,worldwide,10m,
pityostrobus,conifers,jurassic-cretaceous,worldwide,20m,
sequoia,conifers,jurassic-recent,worldwide,70m,
sequoiadendron,conifers,jurassic-recent,worldwide,60m,
metasequoia,conifers,cretaceous-recent,northern hemisphere,30m,
araucaria,conifers,jurassic-recent,worldwide,30m,
picea,conifers,early cretaceous-recent,worldwide,40m,
ginkgo,ginkgos,late triassic-recent,worldwide,35m,
betulites,eudicot angiosperms,late cretaceous-miocene,worldwide,10m,
araliopsoides,eudicot angiosperms,late cretaceous,worldwide,10m,
acer,eudicot angiosperms,oligocene-recent,worldwide,25m,
ficus,eudicot angiosperms,eocene-recent,worldwide,30m,
quercus,eudicot angiosperms,palaeocene-recent,worldwide,40m,
liquidambar,eudicot angiosperms,oligocene-recent,worldwide,25m,
betula,eudicot angiosperms,miocene-recent,worldwide,15m,
palmoxylon,monocotyledonous angiosperms,paleocene-pliocene,worldwide,20m,
nypa,monocotyledonous angiosperms,late cretaceous-recent,northern hemisphere,1.5m,
